Player,Team,Player & Team,season17_18
Tyler Ulis,PHO,Tyler Ulis PHO,1312611
Marcus Georges-Hunt,MIN,Marcus Georges-Hunt MIN,1312611
Malcolm Brogdon,MIL,Malcolm Brogdon MIL,1312611
Rodney McGruder,MIA,Rodney McGruder MIA,1312611
Andrew Harrison,MEM,Andrew Harrison MEM,1312611
Ivica Zubac,LAL,Ivica Zubac LAL,1312611
Patrick McCaw,GSW,Patrick McCaw GSW,1312611
Dorian Finney-Smith,DAL,Dorian Finney-Smith DAL,1312611
Yogi Ferrell,DAL,Yogi Ferrell DAL,1312611
Treveon Graham,CHO,Treveon Graham CHO,1312611
David Nwaba,CHI,David Nwaba CHI,1312611
Paul Zipser,CHI,Paul Zipser CHI,1312611
Isaiah Whitehead,BRK,Isaiah Whitehead BRK,1312611
Sheldon Mac,ATL,Sheldon Mac ATL,1312611
Okaro White,ATL,Okaro White ATL,1312611
Nicolas Brussino,ATL,Nicolas Brussino ATL,1312611
Diamond Stone,ATL,Diamond Stone ATL,1312611
Isaiah Taylor,ATL,Isaiah Taylor ATL,1312611
Kay Felder,CHI,Kay Felder CHI,1312611
Fred VanVleet,TOR,Fred VanVleet TOR,1312611
Derrick Jones,PHO,Derrick Jones PHO,1312611
Chasson Randle,NYK,Chasson Randle NYK,1312611
Stephen Zimmerman,LAL,Stephen Zimmerman LAL,1312611
Semi Ojeleye,BOS,Semi Ojeleye BOS,1291892
Frank Mason,SAC,Frank Mason SAC,1184385
Abdel Nader,BOS,Abdel Nader BOS,1167333
Damyean Dotson,NYK,Damyean Dotson NYK,1100000
Paul Pierce,LAC,Paul Pierce LAC,1096080
Isaiah Canaan,PHO,Isaiah Canaan PHO,1069308
Wesley Iwundu,ORL,Wesley Iwundu ORL,1050000
Livio Jean-Charles,SAS,Livio Jean-Charles SAS,1035200
Justin Hamilton,TOR,Justin Hamilton TOR,1000000
Gerald Henderson,PHI,Gerald Henderson PHI,1000000
Rade Zagorac,MEM,Rade Zagorac MEM,950000
